num_vars,seed,true_edges,edge_density,max_eigenvalue_real,DirectSF2M_AUROC,DirectSF2M_AUPRC,DirectSF2M_training_time,DirectSF2M_num_true_edges,hparam_n_steps,hparam_batch_size,hparam_reg,hparam_alpha,hparam_lr,hparam_knockout_hidden,config_id,experiment_id,total_experiments
10,165,27,0.27,0.9963180699495502,0.8198883815322171,0.6680647340613173,19.38695216178894,27,2000,128,1e-06,0.1,0.003,256,111,336,648
10,962,25,0.25,0.7146712559397453,0.7909333333333334,0.5393452941426015,13.701126098632812,25,2000,128,1e-06,0.1,0.005,128,112,337,648
10,283,27,0.27,0.9467484666911842,0.789193302891933,0.5802012880138008,17.772181034088135,27,2000,128,1e-06,0.1,0.005,128,112,338,648
10,165,27,0.27,0.9963180699495502,0.8866057838660578,0.7560481641413137,17.49209499359131,27,2000,128,1e-06,0.1,0.005,128,112,339,648
10,962,25,0.25,0.7146712559397453,0.7552,0.5107660184945121,21.99488878250122,25,2000,128,1e-06,0.1,0.005,256,113,340,648
10,283,27,0.27,0.9467484666911842,0.8143074581430745,0.5988796515193282,23.570470809936523,27,2000,128,1e-06,0.1,0.005,256,113,341,648
10,165,27,0.27,0.9963180699495502,0.8642820903094877,0.7559525139991703,18.526013135910034,27,2000,128,1e-06,0.1,0.005,256,113,342,648
10,962,25,0.25,0.7146712559397453,0.7773333333333332,0.5317834206040186,12.081820726394653,25,2000,128,1e-06,0.3,0.001,128,114,343,648
10,283,27,0.27,0.9467484666911842,0.8774733637747336,0.728098278360642,12.024003028869629,27,2000,128,1e-06,0.3,0.001,128,114,344,648
10,165,27,0.27,0.9963180699495502,0.8838153221714865,0.7629847516708224,12.418785095214844,27,2000,128,1e-06,0.3,0.001,128,114,345,648
10,962,25,0.25,0.7146712559397453,0.7906666666666666,0.6159501383174548,16.4523446559906,25,2000,128,1e-06,0.3,0.001,256,115,346,648
10,283,27,0.27,0.9467484666911842,0.837138508371385,0.6529159904952646,16.571449995040894,27,2000,128,1e-06,0.3,0.001,256,115,347,648
10,165,27,0.27,0.9963180699495502,0.8665651953323186,0.7189713593369405,17.244210720062256,27,2000,128,1e-06,0.3,0.001,256,115,348,648
10,962,25,0.25,0.7146712559397453,0.7629333333333334,0.4599445262179657,11.874478816986084,25,2000,128,1e-06,0.3,0.003,128,116,349,648
10,283,27,0.27,0.9467484666911842,0.8186199898528667,0.5977072264573523,11.916534185409546,27,2000,128,1e-06,0.3,0.003,128,116,350,648
10,165,27,0.27,0.9963180699495502,0.8665651953323186,0.7252283122841529,11.655121803283691,27,2000,128,1e-06,0.3,0.003,128,116,351,648
10,962,25,0.25,0.7146712559397453,0.7810666666666666,0.6391241835624056,16.150333881378174,25,2000,128,1e-06,0.3,0.003,256,117,352,648
10,283,27,0.27,0.9467484666911842,0.776002029426687,0.591795167542349,17.25486707687378,27,2000,128,1e-06,0.3,0.003,256,117,353,648
10,165,27,0.27,0.9963180699495502,0.8307965499746323,0.682644678428082,17.36771297454834,27,2000,128,1e-06,0.3,0.003,256,117,354,648
10,962,25,0.25,0.7146712559397453,0.7936000000000001,0.5201626630566156,12.314521074295044,25,2000,128,1e-06,0.3,0.005,128,118,355,648
10,283,27,0.27,0.9467484666911842,0.799847792998478,0.5770007724971621,13.860634088516235,27,2000,128,1e-06,0.3,0.005,128,118,356,648
10,165,27,0.27,0.9963180699495502,0.8685946220192796,0.7191735711339775,13.68496322631836,27,2000,128,1e-06,0.3,0.005,128,118,357,648
10,962,25,0.25,0.7146712559397453,0.7909333333333334,0.548005614700766,18.62804388999939,25,2000,128,1e-06,0.3,0.005,256,119,358,648
10,283,27,0.27,0.9467484666911842,0.8054287163876205,0.5691313372270033,18.423070907592773,27,2000,128,1e-06,0.3,0.005,256,119,359,648
10,165,27,0.27,0.9963180699495502,0.8330796549974632,0.7365755148698636,17.30256199836731,27,2000,128,1e-06,0.3,0.005,256,119,360,648
10,962,25,0.25,0.7146712559397453,0.476,0.2746957748134219,12.4267098903656,25,2000,128,1e-05,0.1,0.001,128,120,361,648
10,283,27,0.27,0.9467484666911842,0.6623541349568747,0.4528140869686763,11.967148065567017,27,2000,128,1e-05,0.1,0.001,128,120,362,648
10,165,27,0.27,0.9963180699495502,0.5791476407914764,0.41979719677394095,12.751099109649658,27,2000,128,1e-05,0.1,0.001,128,120,363,648
10,962,25,0.25,0.7146712559397453,0.5834666666666667,0.3352418300653595,18.40180492401123,25,2000,128,1e-05,0.1,0.001,256,121,364,648
10,283,27,0.27,0.9467484666911842,0.6689497716894978,0.4707489211969499,16.98512601852417,27,2000,128,1e-05,0.1,0.001,256,121,365,648
10,165,27,0.27,0.9963180699495502,0.5667174023338407,0.412815734989648,17.607160091400146,27,2000,128,1e-05,0.1,0.001,256,121,366,648
10,962,25,0.25,0.7146712559397453,0.7192,0.4500008970083732,12.3646719455719,25,2000,128,1e-05,0.1,0.003,128,122,367,648
10,283,27,0.27,0.9467484666911842,0.7968036529680365,0.6342854850438258,12.228051900863647,27,2000,128,1e-05,0.1,0.003,128,122,368,648
10,165,27,0.27,0.9963180699495502,0.7318619989852867,0.5729595500234268,13.697946786880493,27,2000,128,1e-05,0.1,0.003,128,122,369,648
10,962,25,0.25,0.7146712559397453,0.7669333333333334,0.6109260799033082,18.220607042312622,25,2000,128,1e-05,0.1,0.003,256,123,370,648
10,283,27,0.27,0.9467484666911842,0.7765093860984272,0.5777775909156746,16.99976897239685,27,2000,128,1e-05,0.1,0.003,256,123,371,648
